date,reg,age,first_dose,second_dose,percent_first,percent_second
2021-09-12,52,09,96,19,0.0,0.0
2021-09-12,52,64,217737,213725,92.9,91.2
2021-09-12,52,69,213732,210765,93.4,92.1
2021-09-12,52,74,208740,206051,99.0,99.0
2021-09-12,52,79,123865,122443,99.0,99.0
2021-09-12,52,80,224456,218751,88.6,86.4
2021-09-12,53,04,144,56,0.1,0.0
2021-09-12,53,11,516,320,0.6,0.4
2021-09-12,53,17,211326,164227,84.3,65.5
2021-09-12,53,24,244987,226701,94.0,87.0
2021-09-12,53,29,143914,132059,90.1,82.7
2021-09-12,53,39,324603,300739,85.8,79.5
2021-09-12,53,49,378822,358126,89.3,84.4
2021-09-12,53,59,415036,399774,93.7,90.3
2021-09-12,53,09,75,17,0.0,0.0
2021-09-12,53,64,212290,207447,96.1,93.9
2021-09-12,53,69,207944,204221,96.4,94.7
2021-09-12,53,74,206834,203191,99.0,99.0
2021-09-12,53,79,120898,118876,99.0,99.0
2021-09-12,53,80,218300,211803,91.9,89.1
2021-09-12,75,04,324,138,0.1,0.1
2021-09-12,75,11,1123,697,0.8,0.5
2021-09-12,75,17,328890,271095,79.2,65.3
2021-09-12,75,24,408240,380982,90.9,84.9
2021-09-12,75,29,251920,234111,87.4,81.2
2021-09-12,75,39,568789,533979,83.8,78.6
2021-09-12,75,49,666678,637300,88.0,84.1
2021-09-12,75,59,744037,721169,92.5,89.7
2021-09-12,75,09,189,33,0.1,0.0
2021-09-12,75,64,374597,366789,92.7,90.7
2021-09-12,75,69,378763,372637,93.4,91.9
2021-09-12,75,74,376378,370842,99.0,99.0
2021-09-12,75,79,237067,232710,99.0,99.0
2021-09-12,75,80,407858,394979,88.8,86.0
2021-09-12,76,04,282,130,0.1,0.0
2021-09-12,76,11,1019,685,0.7,0.5
2021-09-12,76,17,279296,231057,67.4,55.8
2021-09-12,76,24,384468,355401,81.5,75.3
2021-09-12,76,29,241900,222963,78.9,72.7
2021-09-12,76,39,532316,497245,76.7,71.6
2021-09-12,76,49,622960,592958,84.1,80.1
2021-09-12,76,59,698965,676009,88.9,86.0
2021-09-12,76,09,138,26,0.0,0.0
2021-09-12,76,64,342344,335181,90.4,88.5
2021-09-12,76,69,338815,333411,90.3,88.9
2021-09-12,76,74,339957,334930,98.3,96.8
2021-09-12,76,79,225030,221313,99.0,97.7
2021-09-12,76,80,363558,352321,86.3,83.6
2021-09-12,84,04,445,226,0.1,0.1
2021-09-12,84,11,1835,1336,0.9,0.7
2021-09-12,84,17,411370,339744,68.7,56.7
2021-09-12,84,24,572126,529426,88.1,81.5
2021-09-12,84,29,379994,352829,85.6,79.4
2021-09-12,84,39,823541,771213,81.9,76.7
2021-09-12,84,49,885002,842557,85.5,81.4
2021-09-12,84,59,934985,904478,89.5,86.6
2021-09-12,84,09,218,70,0.0,0.0
2021-09-12,84,64,426498,416240,90.0,87.9
2021-09-12,84,69,401657,393811,88.7,86.9
2021-09-12,84,74,398050,390523,96.3,94.5
2021-09-12,84,79,267511,262105,97.6,95.7
2021-09-12,84,80,428056,414360,86.0,83.3
2021-09-12,93,04,686,351,0.3,0.1
2021-09-12,93,11,804,531,0.7,0.5
2021-09-12,93,17,192155,152441,55.8,44.2
2021-09-12,93,24,300969,271666,81.6,73.6
2021-09-12,93,29,203443,181809,79.6,71.1
2021-09-12,93,39,465316,420615,77.7,70.2
2021-09-12,93,49,536032,498280,84.9,78.9
2021-09-12,93,59,610792,580933,90.0,85.6
2021-09-12,93,09,169,57,0.1,0.0
2021-09-12,93,64,288996,279658,90.2,87.3
2021-09-12,93,69,277344,270449,88.7,86.5
2021-09-12,93,74,280179,273864,95.1,93.0
2021-09-12,93,79,204128,199173,95.0,92.7
2021-09-12,93,80,309071,296664,84.5,81.1
2021-09-12,94,04,36,22,0.2,0.1
2021-09-12,94,11,65,49,0.9,0.6
2021-09-12,94,17,12476,10197,60.8,49.7
2021-09-12,94,24,18840,17171,83.0,75.7
2021-09-12,94,29,13336,11751,76.6,67.5
2021-09-12,94,39,30171,27165,69.2,62.3
2021-09-12,94,49,35526,33052,78.6,73.1
2021-09-12,94,59,42100,40223,87.8,83.9
2021-09-12,94,09,11,1,0.1,0.0
2021-09-12,94,64,20127,19851,89.6,88.4
2021-09-12,94,69,19603,19513,86.6,86.2
2021-09-12,94,74,18246,18246,88.7,88.7
2021-09-12,94,79,12632,12534,78.4,77.8
2021-09-12,94,80,18924,18366,78.3,75.9
2021-09-12,01,0,116049,90964,30.8,24.1
2021-09-12,02,0,113598,91949,31.7,25.6
2021-09-12,03,0,75420,63160,25.9,21.7
2021-09-12,04,0,467245,420060,54.3,48.8
2021-09-12,06,0,106403,74468,38.1,26.6
2021-09-12,07,0,6575,5901,66.0,59.2
2021-09-12,08,0,12220,10732,34.6,30.4
2021-09-12,11,0,8918041,8333894,72.6,67.9
2021-09-12,24,0,1901497,1803220,74.3,70.5
2021-09-12,27,0,2074166,1968903,74.5,70.7
2021-09-12,28,0,2632476,2505533,79.7,75.8
2021-09-12,32,0,4376451,4142215,73.4,69.5
2021-09-12,44,0,4035819,3841915,73.2,69.7
2021-09-12,52,0,2971471,2825411,78.2,74.3
2021-09-12,53,0,2685689,2527557,80.4,75.7
2021-09-12,75,0,4744853,4517461,79.1,75.3
2021-09-12,76,0,4371048,4153630,73.8,70.1
2021-09-12,84,0,5931288,5618918,73.8,70.0
2021-09-12,93,0,3670084,3426491,72.6,67.8
2021-09-12,94,0,242093,228141,70.2,66.2
